1,6977,Amy Norman,178,7
2,7798,Calvin Records,191,1
3,1836,Mary Bouchard,159,9
4,2132,Thomas Conklin,104,4
5,1511,William Wilson,189,10
6,9570,Lorenzo Robinson,164,4
7,4002,Marcia Greig,213,9
8,895,Catherine Burkett,243,1
9,6416,Philip Hisaw,266,1
10,6392,Ella Ward,105,7
11,3971,Donna Hill,156,4
12,778,Ronald Martin,104,3
13,2969,Sue Clawson,162,1
14,1335,Ruby Osullivan,116,6
15,6416,James Patterson,223,1
16,1140,James Griffith,182,2
17,4754,Teresa Skiles,122,5
18,7010,John Bryant,210,1
19,1555,Thomas Enyart,231,5
20,7996,Mark Wilkes,154,3
21,7655,Anna Tate,278,1
22,9335,Jose Shannon,174,2
23,7277,Phyllis Rodriguez,100,8
24,8072,William Ballard,297,8
25,1307,Deirdre Casey,136,8
26,4466,Jessica Harper,157,5
27,8422,George Olson,199,3
28,7224,Loyce Owens,190,9
29,9563,June Sanchez,255,4
30,5040,Kathrine Hermosillo,262,3
31,1389,Toby Hinton,164,7
32,1997,Arthur Carter,239,1
33,9500,Nestor Mccarville,165,1
34,5857,Gloria Floyd,224,6
35,7391,Eula Daniels,149,10
36,7423,Barbara Conde,157,10
37,3489,Susan Kupper,143,2
38,907,John Mcelhenney,141,5
39,3243,Helen Kimura,156,10
40,3458,Cecile Cartwright,191,3
41,7395,Gerald Bradford,202,2
42,9170,Michelle Burns,254,7
43,547,Sadie Shrader,234,3
44,9309,Mario Johnson,118,9
45,1183,Corey Stassinos,199,5
46,9454,Jimmie Kilby,289,8
47,7196,Gabriel Spence,115,8
48,4623,Brian Yuen,150,9
49,4195,Lisa Douglas,184,2
50,2952,James Michaud,204,8
51,6431,August Pearson,135,3
52,8985,Lena Moser,194,10
53,8950,Brian Combs,299,8
54,5414,Twanda Magee,159,1
55,9634,Desiree Donaldson,150,5
56,2482,Diane Banner,182,6
57,3791,Ralph Suda,198,6
58,6541,Robert Kerr,173,9
59,3080,Michael Davis,127,6
60,2352,David Miller,132,5
61,3392,Lois Smith,169,4
62,8874,Bradly Sahara,251,9
63,4177,Ronald Thompson,114,9
64,926,William Hicks,102,8
65,5289,Charles White,284,10
66,3575,Stepanie Davis,104,2
67,6211,Barbara Judd,214,8
68,3429,Kenneth Quintana,277,1
69,2086,Russell Garczynski,144,1
70,10089,Chase Adcock,220,1
71,5166,Opal Brown,138,8
72,2652,Antonio Smith,252,4
73,271,Ruth Bridges,298,3
74,4933,Patsy Magee,178,8
75,4573,Rodney Coats,125,2
76,2722,Rita Lewis,197,6
77,547,Bernice Rempe,234,10
78,2378,Soo Cowan,104,1
79,4017,Frank Ray,221,3
80,8834,Pattie Sealey,290,6
81,3564,Stephen Rogers,296,4
82,3259,Yuki Battee,176,8
83,9441,Michael Sims,148,4
84,8200,Janet Linahan,294,10
85,190,Jessie Buchana,258,4
86,1481,Ronald King,291,10
87,7884,Anthony Griffin,252,3
88,149,Jimmy Cannady,244,9
89,6015,Ron Bugarin,282,3
90,8240,Lucille Gross,208,3
91,8235,Jolene Tijerina,212,10
92,7819,Lucas Johnson,142,2
93,7446,Karla Snider,278,6
94,8391,Morris Finney,130,10
95,7922,Justin Santiago,181,1
96,4963,Theresa Bryant,240,4
97,844,Carie Timmer,286,3
98,7957,Veronica Just,270,9
99,1717,Arthur Krause,274,5
100,6092,Michael Wall,159,4
101,10043,Kenneth Montalvan,251,2
102,6943,Michael Gallusser,213,8
103,9528,Carolyn Peacock,279,3
104,3734,Amanda King,113,10
105,7843,Frank Shufelt,223,5
106,8447,Gregory Bullock,190,6
107,9978,Karen Chen,206,3
108,7335,Alberta Carter,221,8
109,783,Jeanne Lannon,161,5
110,7981,Mary Davis,251,5
111,5119,Christine Silva,182,4
112,2044,Ashley Ramon,243,4
113,2336,Connie Lopez,224,3
114,4730,Robert Vines,127,7
115,1670,Angela Telles,187,10
